item_id,user_id,clk/no
13,4519,Yes
13,993,Yes
13,5005,Yes
13,3593,Yes
13,5544,Yes
13,1850,Yes
13,3002,Yes
13,3948,Yes
13,3876,Yes
13,2262,Yes
13,228,Yes
13,2134,Yes
13,1010,Yes
13,4221,Yes
13,4652,Yes
13,1705,Yes
13,548,Yes
13,2725,Yes
13,3781,Yes
13,1177,Yes
18,793,Yes
18,5207,Yes
18,3321,Yes
18,4307,Yes
18,2460,Yes
18,3801,Yes
18,802,Yes
18,1354,Yes
18,2072,Yes
18,258,Yes
18,3134,Yes
18,4397,Yes
18,1049,Yes
18,1597,Yes
18,5047,Yes
18,959,Yes
18,3091,Yes
18,2857,Yes
18,4967,Yes
18,2729,Yes
25,3119,Yes
25,2809,Yes
25,975,Yes
25,245,Yes
25,5128,Yes
25,4062,Yes
25,5030,Yes
25,194,Yes
25,2096,Yes
25,1084,Yes
25,5445,Yes
25,540,Yes
25,681,Yes
25,30,Yes
25,894,Yes
25,2015,Yes
25,4266,Yes
25,2532,Yes
25,5422,Yes
25,3421,Yes
42,4492,Yes
42,3877,Yes
42,5512,No
42,425,Yes
42,4440,Yes
42,3625,Yes
42,3546,Yes
42,5264,Yes
42,630,Yes
42,3255,Yes
42,556,Yes
42,1997,Yes
42,4452,Yes
42,1205,Yes
42,4032,Yes
42,5485,Yes
42,1603,Yes
42,3687,Yes
42,5159,Yes
42,4018,Yes
43,3877,Yes
43,2640,Yes
43,4032,Yes
43,3546,Yes
43,3255,Yes
43,425,Yes
43,4492,Yes
43,5148,Yes
43,4018,Yes
43,1997,Yes
43,3625,Yes
43,1603,Yes
43,4440,Yes
43,5485,Yes
43,2210,Yes
43,551,Yes
43,5159,Yes
43,5264,Yes
43,2464,Yes
43,967,Yes
46,158,Yes
46,4422,Yes
46,1822,Yes
46,1786,Yes
46,5018,Yes
46,3525,Yes
46,4307,Yes
46,2782,Yes
46,1023,Yes
46,4856,Yes
46,2842,Yes
46,8,Yes
46,108,Yes
46,1830,Yes
46,821,Yes
46,867,Yes
46,4593,Yes
46,1698,Yes
46,2424,Yes
46,959,Yes
49,4018,Yes
49,967,Yes
49,4492,Yes
49,1205,No
49,1757,Yes
49,182,Yes
49,5264,Yes
49,3445,Yes
49,2134,Yes
49,3093,Yes
49,4062,Yes
49,2742,Yes
49,3625,Yes
49,30,Yes
49,155,Yes
49,551,Yes
49,2464,Yes
49,3421,Yes
49,1644,Yes
49,4440,Yes
55,3852,No
55,816,Yes
55,4780,No
55,2759,Yes
55,3412,No
55,187,Yes
55,5443,Yes
