item_id,user_id,clk/no
8193,5483,1
8193,1947,1
8193,4947,1
8193,107,1
8193,4048,1
8193,1665,1
8193,2038,1
8193,2530,1
8193,119,1
8193,4865,1
8193,4524,1
8193,657,1
8193,537,1
8193,1308,1
8193,2562,1
8193,923,1
8193,939,1
8193,956,1
8193,4730,1
8193,4795,1
8196,702,1
8196,4354,1
8196,4711,1
8196,1648,1
8196,4305,1
8196,3971,1
8196,1422,1
8196,1655,1
8196,5289,1
8196,3353,1
8196,3545,1
8196,1355,1
8196,4392,1
8196,2143,1
8196,3848,1
8196,3262,1
8196,2458,1
8196,1538,1
8196,4909,1
8196,792,1
8199,2420,1
8199,2670,1
8199,5219,1
8199,1259,1
8199,1359,1
8199,68,1
8199,3642,1
8199,1224,1
8199,5432,1
8199,1854,1
8199,2924,1
8199,402,1
8199,791,1
8199,428,1
8199,2450,1
8199,4873,1
8199,2779,1
8199,3227,1
8199,152,1
8199,3615,1
16393,4895,1
16393,5185,1
16393,3357,1
16393,4279,1
16393,4881,1
16393,2631,1
16393,2715,1
16393,5279,1
16393,1716,1
16393,843,1
16393,1358,1
16393,5156,1
16393,766,1
16393,3128,1
16393,5124,1
16393,4863,1
16393,3020,1
16393,4467,1
16393,1263,1
16393,206,1
13,4519,1
13,5544,1
13,5005,1
13,3593,1
13,993,1
13,1850,1
13,3002,1
13,3948,1
13,3876,1
13,2262,1
13,228,1
13,2134,1
13,1010,1
13,4221,1
13,4652,1
13,1705,1
13,548,1
13,2725,1
13,3781,1
13,1177,1
16397,426,1
16397,2656,1
16397,822,1
16397,1921,1
16397,1070,1
16397,642,1
16397,1996,1
16397,991,1
16397,3559,1
16397,990,1
16397,1329,1
16397,3038,1
16397,1808,1
16397,694,1
16397,5243,1
16397,5173,1
16397,2320,1
16397,4155,1
16397,145,1
16397,5353,1
16398,69,1
16398,2749,1
16398,3590,1
16398,1894,1
16398,1344,1
16398,2848,1
16398,1614,1
16398,3187,1
16398,797,1
16398,4390,1
16398,1348,1
16398,984,1
16398,5300,1
16398,235,1
16398,2316,1
16398,1173,1
16398,2700,1
16398,2097,1
16398,5537,1
16398,3164,1
18,793,1
18,5207,1
18,3321,1
18,4307,1
18,2460,1
18,3801,1
18,802,1
18,1354,1
18,2072,1
18,258,1
18,3134,1
18,4397,1
18,1049,1
18,1597,1
18,5047,1
18,959,1
18,3091,1
18,2857,1
18,4967,1
18,2729,1
16403,1631,1
16403,5173,1
16403,1808,1
16403,694,1
16403,2922,1
16403,822,1
16403,3798,1
16403,991,1
16403,4155,1
16403,1070,1
16403,3489,1
16403,4024,1
16403,642,1
16403,426,1
16403,2320,1
16403,3038,1
16403,5102,1
16403,1996,1
16403,5353,1
16403,272,1
8214,4127,1
8214,1186,1
8214,3577,1
8214,2082,1
8214,4577,1
8214,5090,1
8214,1061,1
8214,3338,1
8214,1739,1
8214,2208,1
8214,1907,1
8214,4448,1
8214,3383,1
8214,3721,1
8214,201,1
8214,3493,1
8214,4520,1
8214,1980,1
8214,3196,1
8214,3341,1
16406,3070,1
16406,5343,1
16406,2881,1
16406,462,1
16406,4364,1
16406,4716,1
16406,4229,1
16406,632,1
16406,2838,1
16406,2974,1
16406,1033,1
16406,1691,1
16406,2393,1
16406,2914,1
16406,4888,1
16406,1070,1
16406,1965,1
16406,1598,1
16406,161,1
16406,2387,1
25,3119,1
25,2809,1
25,975,1
25,245,1
25,5128,1
25,4062,1
25,5030,1
25,194,1
25,2096,1
25,1084,1
25,5445,1
25,540,1
25,681,1
25,30,1
25,894,1
25,2015,1
25,4266,1
25,2532,1
25,5422,1
25,3421,1
8221,4915,1
8221,3344,1
8221,2585,1
8221,2013,1
8221,53,1
8221,4207,1
8221,3582,1
8221,3338,1
8221,921,1
8221,854,1
8221,4294,1
8221,816,1
8221,4295,1
8221,4464,1
8221,5530,1
8221,1317,1
8221,4507,1
8221,4000,1
8221,2454,1
8221,2482,1
8224,621,1
8224,3793,1
8224,4416,1
8224,2183,1
8224,1110,1
8224,3327,1
8224,5204,1
8224,948,1
8224,813,1
8224,5284,1
8224,1979,1
8224,4298,1
8224,963,1
8224,4885,1
8224,370,1
8224,3695,1
8224,658,1
8224,2044,1
8224,1718,1
8224,4188,1
8228,2659,1
8228,796,1
8228,4839,1
8228,602,1
8228,2820,1
8228,2523,1
8228,5464,1
8228,607,1
8228,5237,1
8228,4982,1
8228,2304,1
8228,1475,1
8228,3101,1
8228,3055,1
8228,4071,1
8228,382,1
8228,4199,1
8228,4302,1
8228,1379,1
8228,2003,1
8229,1938,1
8229,4422,1
8229,3903,1
8229,90,1
8229,1645,1
8229,1982,1
8229,2004,1
8229,5446,1
8229,656,1
8229,5363,1
8229,119,1
8229,2944,1
8229,3232,1
8229,4524,1
8229,4911,1
8229,929,1
8229,4022,1
8229,5236,1
8229,2118,1
8229,5341,1
8233,2423,1
8233,2018,1
8233,1222,1
8233,4160,1
8233,1440,1
8233,1880,1
8233,2769,1
8233,3453,1
8233,3731,1
8233,3857,1
8233,1654,1
8233,3283,1
8233,5067,1
8233,4366,1
8233,1888,1
8233,2288,1
8233,84,1
8233,1653,1
8233,3062,1
8233,1179,1
42,4492,1
42,3877,1
42,5512,1
42,425,1
42,4440,1
42,3625,1
42,3546,1
42,5264,1
42,630,1
42,3255,1
42,556,1
42,1997,1
42,4452,1
42,1205,1
42,4032,1
42,5485,1
42,1603,1
42,3687,1
42,5159,1
42,4018,1
43,3877,1
43,2640,1
43,4032,1
43,3546,1
43,3255,1
43,425,1
43,4492,1
43,5148,1
43,4018,1
43,1997,1
43,3625,1
43,1603,1
43,4440,1
43,5485,1
43,2210,1
43,551,1
43,5159,1
43,5264,1
43,2464,1
43,967,1
8234,4523,1
8234,2770,1
8234,4728,1
8234,5495,1
8234,3921,1
8234,2550,1
8234,2973,1
8234,2708,1
8234,5035,1
8234,1374,1
8234,860,1
8234,3351,1
8234,1654,1
8234,4160,1
8234,1888,1
8234,5067,1
8234,666,1
8234,4086,1
8234,4570,1
8234,3751,1
16426,1594,1
16426,4518,1
16426,1085,1
16426,1640,1
16426,2359,1
16426,671,1
16426,4774,1
16426,1411,1
16426,1427,1
16426,3589,1
16426,4768,1
16426,675,1
16426,2486,1
16426,376,1
16426,5197,1
16426,4336,1
16426,3986,1
16426,4264,1
16426,3999,1
16426,878,1
46,158,1
46,4422,1
46,1822,1
46,1786,1
46,5018,1
46,3525,1
46,4307,1
46,2782,1
46,1023,1
46,4856,1
46,2842,1
46,8,1
46,108,1
46,1830,1
46,821,1
46,867,1
46,4593,1
46,1698,1
46,2424,1
46,959,1
8238,5390,1
8238,1465,1
8238,2414,1
8238,5086,1
8238,4782,1
8238,4971,1
8238,2652,1
8238,606,1
8238,1781,1
8238,3681,1
8238,4867,1
8238,5223,1
8238,4472,1
8238,1613,1
8238,1916,1
8238,250,1
8238,3608,1
8238,2279,1
8238,4077,1
8238,1304,1
8239,2700,1
8239,2168,1
8239,4390,1
8239,786,1
8239,5256,1
8239,2410,1
8239,2877,1
8239,3407,1
8239,5510,1
8239,3828,1
8239,5263,1
8239,3590,1
8239,2882,1
8239,3471,1
8239,1158,1
8239,2314,1
8239,5000,1
8239,3438,1
8239,3144,1
8239,4308,1
49,4018,1
49,967,1
49,4492,1
49,1205,1
49,1757,1
49,182,1
49,5264,1
49,3445,1
49,2134,1
49,3093,1
49,4062,1
49,2742,1
49,3625,1
49,30,1
49,155,1
49,551,1
49,2464,1
49,3421,1
49,1644,1
49,4440,1
16428,4749,1
16428,4703,1
16428,3186,1
16428,201,1
16428,3020,1
16428,3721,1
16428,3196,1
16428,4078,1
16428,5276,1
16428,1684,1
16428,3031,1
16428,2235,1
16428,3173,1
16428,385,1
16428,1876,1
16428,5530,1
16428,4346,1
16428,4417,1
16428,192,1
16428,2387,1
16432,3343,1
16432,677,1
16432,1465,1
16432,3152,1
16432,4902,1
16432,1781,1
16432,3608,1
16432,4971,1
16432,2906,1
16432,1361,1
16432,5128,1
16432,2980,1
16432,1220,1
16432,1411,1
16432,3378,1
16432,3231,1
16432,3119,1
16432,1828,1
16432,2203,1
16432,3122,1
55,3852,1
55,816,1
55,4780,1
55,2759,1
55,3412,1
55,187,1
55,5443,1
55,4062,1
55,2444,1
55,1220,1
55,5187,1
55,1361,1
55,4032,1
55,221,1
55,1927,1
55,965,1
55,3764,1
55,1828,1
55,2075,1
55,273,1
56,5222,1
56,1817,1
56,3702,1
56,2930,1
56,399,1
56,334,1
56,4982,1
56,4537,1
56,2499,1
56,754,1
56,3676,1
56,1305,1
56,2719,1
56,3727,1
56,3088,1
56,1069,1
56,2972,1
56,1693,1
56,3386,1
56,361,1
16444,1452,1
16444,487,1
16444,5490,1
16444,797,1
16444,5122,1
16444,2697,1
16444,834,1
16444,1992,1
16444,1716,1
16444,4364,1
16444,4874,1
16444,4477,1
16444,161,1
16444,5337,1
16444,106,1
16444,3762,1
16444,3656,1
16444,4153,1
16444,779,1
16444,4653,1
8254,1051,1
8254,5537,1
8254,1777,1
8254,3828,1
8254,3598,1
8254,2673,1
